Part No.,Description,Quantity
AS -2115HS-TNR-OTO-37,"OPTIMIZED H13SSH, CSE-HS219-R1K63P-A",3
AS -2115HS-TNR,"H13SSH, CSE-HS219-R1K63P-A",3
EWCSC,"3 YRS LABOR, 3 YRS PARTS, 1 YR CRS UNDER LIMITED WRNTY",3
PSE-GEN9534-0799,Genoa 9534 DP/UP 64C/128T 2.45G 256M 280W SP5,3
MEM-DR596L-SL01-ER56,"96GB DDR5-5600 2RX4 LP (24Gb) ECC RDIMM,HF,RoHS",72
HDS-25N5-007T6-E1-T1D-SIE-015,"SSD 2.5"" NVMe PCIe5 7.68TB 1DWPD TLC D, SIE/ISE, 15mm#(CQ8601248067)",36
HDS-MMN-MTFDKBA480TFR1BC,Micron 7450 PRO 480GB NVMe PCIe 4.0 M.2 22x80mm 3D TLC,6
AOC-A25G-M2SM-O,"AIOM 2-port 25GbE SFP28,Mellanox CX-6 LX w/0.5U height b",3
AOC-653106A-HDAT,"MCX653106A-HDAT, CX-6 VPI,HDR,200GbE,2p,QSFP56,PCIe4x16",3
GPU-NVA16-NC,"NVIDIA A16 64GB GDDR6 PCIe 4.0- Passive Cooling, w/o CEC",3
AOM-TPM-9670V-O,SPI TPM 2.0 using SLB9670 (Retail Pack),3
FAN-0217L4,"80x80x38 mm, 16.5K RPM, Hot-swappable Cooling Fan for SC218H",24
SNK-P2083P,2U Passive EVAC CPU HS for H13 Hyper Series Servers,3
CBL-PWCD-0579-1,"PWCD,US,IEC60320 C14 TO C13,6FT,14AWG,RoHS",6
SFT-DCMS-SINGLE,SMC System Management Software Suite Node License,3
MCP-240-21908-0N,"Riser Bracket(4-slot) for RSC-H2-6888G5L in CSE-HS219/HS829,",3
CBL-KIT-2115HS-TNR-20N,"20 NVME cable kit for AS -2115HS-TNR,RoHS",3
CBL-MCIO-1245M5R,"MCIO x8 (RA to STR),45cm,30AWG,RoHS",3
CBL-MCIO-1335M5R,"MCIO x8 (RA to STR),35CM,32AWG,RoHS",3
CBL-PWEX-1136YB-25,"MicroHi(2x4 to 2x2Y),PH3.0,25/25cm,8.5A/p,18AWG,RoHS",3
MCP-220-00185-0N,"2.5"" HDD tray dummy cover for 2 slot,RoHS",6
MCP-240-21108-0N,"Riser Bracket(2-slot) for RSC-H-68G5 for HE211/HS829/HS219,R",3
RSC-H-68G5,1U LHS Hyper Riser card with one PCI-E 5.0 X16 and one P,3
RSC-H-6G5L,"1U LHS Hyper riser card with one PCI-E 5.0 X16 slot,HF,R",3
MCP-310-82956-0B,"HS219/HS829 GPU Mylar Air Shroud (LEFT) for H13SSH,RoHS",3
MCP-310-82955-0B,"HS219/HS829 GPU Mylar Air Shroud (CPU) for H13SSH,RoHS",3
CBL-PWEX-1172-2654,"McHi,P3.0(2x4 to 2x2)+ to MnFt,2x4,PH4.2,26/54CM,9A/p,16",3
MC0037,ASSEMBLY AND TESTING,3
SMSAD5,"5-YEAR 24X7 HELP DESK/DIAGNOSTIC WITH DEDICATED SPARES, DEPO",3
,,
SHIPPING,Shipping on Order,1
